"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"ENSG00000213891",0.1388017,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000213892",0,NA,NA,NA,NA,NA,NA
"ENSG00000213896",0,NA,NA,NA,NA,NA,NA
"ENSG00000213900",0,NA,NA,NA,NA,NA,NA
"ENSG00000213901",37.33509,0.2892548,0.3614171,0.8003353,0.4235166,0.7158203,FALSE
"ENSG00000213903",60.44603,-0.2261311,0.2865723,-0.789089,0.43006,0.7206058,FALSE
"ENSG00000213906",24.19307,0.332742,0.3382771,0.9836374,0.3252938,0.6312075,FALSE
"ENSG00000213908",0,NA,NA,NA,NA,NA,NA
"ENSG00000213911",0,NA,NA,NA,NA,NA,NA
"ENSG00000213916",0,NA,NA,NA,NA,NA,NA
"ENSG00000213917",0.2380645,0.1733657,3.533812,0.04905913,0.9608722,NA,FALSE
"ENSG00000213918",648.0611,-0.5836605,0.2155772,-2.707431,0.006780609,0.0475868,FALSE
"ENSG00000213920",98.16572,0.3027819,0.2866522,1.056269,0.2908452,0.593972,FALSE
"ENSG00000213921",0,NA,NA,NA,NA,NA,NA
"ENSG00000213923",2441.203,0.1825439,0.1230202,1.483853,0.137848,0.3850438,FALSE
"ENSG00000213924",0,NA,NA,NA,NA,NA,NA
"ENSG00000213925",0.2380645,0.1733657,3.533812,0.04905913,0.9608722,NA,FALSE
"ENSG00000213926",0,NA,NA,NA,NA,NA,NA
"ENSG00000213927",5.987058,-0.7573663,0.7943432,-0.9534497,0.3403623,NA,FALSE
"ENSG00000213928",872.1294,0.03881012,0.1170978,0.3314334,0.7403171,0.9115845,FALSE
"ENSG00000213930",282.2625,-0.4696264,0.1514893,-3.100064,0.001934786,0.01801004,FALSE
"ENSG00000213931",0.8654173,-0.2239209,1.753304,-0.1277137,0.8983756,NA,FALSE
"ENSG00000213934",0.1388017,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000213935",0,NA,NA,NA,NA,NA,NA
"ENSG00000213937",0.5937744,-1.640151,2.978637,-0.5506382,0.5818817,NA,FALSE
"ENSG00000213938",0.5847341,0.5113444,3.499296,0.1461278,0.8838205,NA,FALSE
"ENSG00000213939",0.9613745,-0.6471097,1.693316,-0.3821553,0.7023462,NA,FALSE
"ENSG00000213940",0.1862932,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000213942",0.1065463,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000213943",0.6148254,0.4241163,3.032989,0.1398344,0.8887908,NA,FALSE
"ENSG00000213946",0,NA,NA,NA,NA,NA,NA
"ENSG00000213949",1235.323,0.357887,0.2308847,1.550068,0.1211252,0.3573122,FALSE
"ENSG00000213950",0.5363922,0.2197527,3.090825,0.07109839,0.9433194,NA,FALSE
"ENSG00000213954",0,NA,NA,NA,NA,NA,NA
"ENSG00000213956",0.1862932,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000213958",0,NA,NA,NA,NA,NA,NA
"ENSG00000213959",0,NA,NA,NA,NA,NA,NA
"ENSG00000213962",0,NA,NA,NA,NA,NA,NA
"ENSG00000213964",0,NA,NA,NA,NA,NA,NA
"ENSG00000213965",147.4159,0.3653911,0.154694,2.362024,0.01817545,0.1000244,FALSE
"ENSG00000213967",15.57021,-0.3577911,0.4350453,-0.8224226,0.4108364,0.7064166,FALSE
"ENSG00000213970",0.4413177,-2.192713,3.059591,-0.7166685,0.4735787,NA,NA
"ENSG00000213972",0.1226236,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000213973",5.301584,0.1370131,0.8157911,0.1679513,0.8666216,NA,FALSE
"ENSG00000213976",3.68436,0.08562195,0.9162031,0.09345302,0.9255437,NA,FALSE
"ENSG00000213977",2827.156,-0.02966656,0.1143484,-0.2594401,0.7952957,0.9339914,FALSE
"ENSG00000213979",0.4579683,-1.015767,3.099501,-0.3277196,0.7431237,NA,FALSE
"ENSG00000213983",549.0612,-0.03785183,0.1359725,-0.2783785,0.7807218,0.928635,FALSE
"ENSG00000213985",0.1226236,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000213987",0,NA,NA,NA,NA,NA,NA
"ENSG00000213988",27.08315,-0.4017121,0.344662,-1.165525,0.2438066,0.5370057,FALSE
"ENSG00000213995",854.5743,0.09576991,0.1100187,0.8704878,0.3840339,0.6833679,FALSE
"ENSG00000213996",60.87339,0.7029634,0.2810252,2.501425,0.01236946,0.07576213,FALSE
"ENSG00000213997",0.7730371,-1.337492,2.294516,-0.5829079,0.5599553,NA,FALSE
"ENSG00000213999",18.8263,-0.7432142,0.7040787,-1.055584,0.2911583,0.5942046,FALSE
"ENSG00000214003",0,NA,NA,NA,NA,NA,NA
"ENSG00000214009",0,NA,NA,NA,NA,NA,NA
"ENSG00000214012",0,NA,NA,NA,NA,NA,NA
"ENSG00000214013",517.5567,0.2597484,0.2001821,1.297561,0.1944383,0.4712425,FALSE
"ENSG00000214015",0,NA,NA,NA,NA,NA,NA
"ENSG00000214016",1.370535,0.9412926,1.318025,0.7141689,0.4751228,NA,FALSE
"ENSG00000214018",2.699059,0.7571471,1.233194,0.6139723,0.5392336,NA,FALSE
"ENSG00000214019",0,NA,NA,NA,NA,NA,NA
"ENSG00000214020",0.1065463,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214021",1522.509,0.02953148,0.1786396,0.1653132,0.8686974,0.9628926,FALSE
"ENSG00000214022",912.847,0.02198891,0.136244,0.1613936,0.8717834,0.9636639,FALSE
"ENSG00000214024",0,NA,NA,NA,NA,NA,NA
"ENSG00000214025",0,NA,NA,NA,NA,NA,NA
"ENSG00000214026",433.4131,0.06037955,0.1415466,0.42657,0.6696926,0.8774543,FALSE
"ENSG00000214027",0,NA,NA,NA,NA,NA,NA
"ENSG00000214029",131.547,-0.3127969,0.1847882,-1.692732,0.09050653,0.297401,FALSE
"ENSG00000214031",5.055966,-0.2362839,0.8680383,-0.2722044,0.7854649,NA,FALSE
"ENSG00000214035",0,NA,NA,NA,NA,NA,NA
"ENSG00000214041",0,NA,NA,NA,NA,NA,NA
"ENSG00000214042",0,NA,NA,NA,NA,NA,NA
"ENSG00000214045",0,NA,NA,NA,NA,NA,NA
"ENSG00000214046",754.0438,0.06489971,0.08661499,0.7492896,0.4536827,0.7368391,FALSE
"ENSG00000214047",0,NA,NA,NA,NA,NA,NA
"ENSG00000214050",1.529845,-0.6303404,1.290158,-0.4885762,0.6251418,NA,FALSE
"ENSG00000214051",0,NA,NA,NA,NA,NA,NA
"ENSG00000214062",0.9326362,0.7726695,1.870904,0.4129925,0.6796121,NA,FALSE
"ENSG00000214063",1913.696,0.1441026,0.1107215,1.301487,0.1930918,0.4693404,FALSE
"ENSG00000214064",0,NA,NA,NA,NA,NA,NA
"ENSG00000214067",0,NA,NA,NA,NA,NA,NA
"ENSG00000214070",0.2286975,-1.270362,3.526858,-0.3601964,0.7187003,NA,FALSE
"ENSG00000214071",0,NA,NA,NA,NA,NA,NA
"ENSG00000214073",0.1226236,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214074",0.1060739,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214076",0.3186941,-1.730421,3.493741,-0.4952916,0.6203943,NA,FALSE
"ENSG00000214077",0,NA,NA,NA,NA,NA,NA
"ENSG00000214078",1832.301,-0.09619502,0.08011244,-1.20075,0.2298482,0.5201809,FALSE
"ENSG00000214081",0.4084954,-2.047057,3.472292,-0.5895406,0.5554987,NA,NA
"ENSG00000214087",391.264,-0.007518306,0.1407292,-0.05342391,0.9573942,0.9896754,FALSE
"ENSG00000214089",0.242239,-1.270362,3.526858,-0.3601964,0.7187003,NA,FALSE
"ENSG00000214093",0.0897385,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000214097",0.4170691,1.215999,3.153346,0.3856216,0.6997769,NA,FALSE
"ENSG00000214100",1.608489,1.296008,1.650096,0.7854137,0.4322111,NA,FALSE
"ENSG00000214102",3.813837,-0.6349125,0.9434106,-0.6729969,0.5009492,NA,FALSE
"ENSG00000214107",0,NA,NA,NA,NA,NA,NA
"ENSG00000214108",0.3574218,0.8190847,3.302571,0.2480143,0.8041234,NA,FALSE
"ENSG00000214110",34.70576,0.7216259,0.9307583,0.7753097,0.4381567,0.726431,FALSE
"ENSG00000214111",0,NA,NA,NA,NA,NA,NA
"ENSG00000214113",426.627,-0.03127472,0.1755383,-0.1781647,0.8585937,0.959519,FALSE
"ENSG00000214114",162.1636,0.302606,0.2895365,1.045139,0.2959586,0.5997181,FALSE
"ENSG00000214121",3.01242,0.02282055,1.085865,0.02101602,0.9832329,NA,FALSE
"ENSG00000214124",0,NA,NA,NA,NA,NA,NA
"ENSG00000214125",0.0897385,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000214128",11.64457,-0.6397166,0.5848631,-1.093789,0.2740477,0.574457,FALSE
"ENSG00000214132",0,NA,NA,NA,NA,NA,NA
"ENSG00000214135",261.9938,-0.1517397,0.1439995,-1.053752,0.2919966,0.5950097,FALSE
"ENSG00000214140",53.43199,-0.454288,0.3154134,-1.440294,0.1497842,0.4063908,FALSE
"ENSG00000214141",0.2541418,0.1733657,3.533812,0.04905913,0.9608722,NA,FALSE
"ENSG00000214142",0.2427115,-1.272943,3.526737,-0.3609407,0.7181438,NA,FALSE
"ENSG00000214144",0,NA,NA,NA,NA,NA,NA
"ENSG00000214147",0.1060739,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214160",422.8305,0.2204997,0.2032555,1.08484,0.2779926,0.5790398,FALSE
"ENSG00000214161",0,NA,NA,NA,NA,NA,NA
"ENSG00000214174",242.1684,-0.4760106,0.2073924,-2.295217,0.02172068,0.1122346,FALSE
"ENSG00000214176",578.4541,0.3492004,0.2217087,1.575041,0.115247,0.3456953,FALSE
"ENSG00000214178",0,NA,NA,NA,NA,NA,NA
"ENSG00000214182",4.857823,-0.1479451,0.9117683,-0.1622617,0.8710998,NA,FALSE
"ENSG00000214185",0.7799542,-0.6843935,2.030686,-0.3370257,0.7360975,NA,FALSE
"ENSG00000214189",162.6086,-0.3245511,0.2176091,-1.491441,0.1358457,0.3819873,FALSE
"ENSG00000214190",0.0897385,0.8946997,3.533812,0.2531826,0.8001271,NA,FALSE
"ENSG00000214192",0.1226236,-0.5479728,3.533812,-0.1550657,0.8767696,NA,FALSE
"ENSG00000214193",218.8037,0.0820611,0.3183151,0.2577983,0.7965626,0.9349837,FALSE
"ENSG00000214195",0,NA,NA,NA,NA,NA,NA
"ENSG00000214198",16.4571,0.7429662,0.5527938,1.344021,0.1789417,0.4497299,FALSE
"ENSG00000214199",17.71651,-0.291451,0.422233,-0.6902609,0.4900301,0.7627447,FALSE
"ENSG00000214200",0,NA,NA,NA,NA,NA,NA
"ENSG00000214203",0.4711508,-1.2338,3.122412,-0.3951434,0.6927371,NA,FALSE
"ENSG00000214204",0,NA,NA,NA,NA,NA,NA
"ENSG00000214207",0,NA,NA,NA,NA,NA,NA
"ENSG00000214210",0.8470193,-2.22237,2.293118,-0.9691477,0.3324715,NA,NA
"ENSG00000214211",0,NA,NA,NA,NA,NA,NA
"ENSG00000214212",14.47834,-1.392798,0.519085,-2.683178,0.007292612,0.05042429,FALSE
"ENSG00000214215",0,NA,NA,NA,NA,NA,NA
"ENSG00000214216",0,NA,NA,NA,NA,NA,NA
"ENSG00000214222",0.2291699,-1.272943,3.526737,-0.3609407,0.7181438,NA,FALSE
"ENSG00000214223",4.90902,0.3479857,1.093174,0.3183261,0.7502376,NA,FALSE
"ENSG00000214226",33.33207,0.1210903,0.3305219,0.3663608,0.7140958,0.8995862,FALSE
"ENSG00000214237",0.3250949,1.791564,3.511511,0.5101976,0.609913,NA,FALSE
"ENSG00000214243",0.6999492,-0.8879329,1.832762,-0.4844779,0.6280467,NA,FALSE
"ENSG00000214244",0.2860233,0.6955465,3.525454,0.1972928,0.8435984,NA,FALSE
"ENSG00000214245",0,NA,NA,NA,NA,NA,NA
"ENSG00000214249",0.3189084,-0.5515217,3.425144,-0.1610215,0.8720765,NA,FALSE
"ENSG00000214252",0,NA,NA,NA,NA,NA,NA
"ENSG00000214253",1118.657,-0.02971474,0.1145284,-0.259453,0.7952858,0.9339914,FALSE
"ENSG00000214254",0,NA,NA,NA,NA,NA,NA
